IDSAP,MC_STORE_ID,IDwws,Name,URL,ADDRESS,ZIP,PHONE,WHATS,FAX,MAIL,LAT,LONG,OPENDAYS,CLOSEDDAYS,SPECIALDAYS
E600,121956,1119,@Tienda Online,http://specials.mediamarkt.es/tiendas/online,Calle Garrotxa NÃºmero 2-4 Edificio Oceano II,08820,902102573,,,atencionalcliente@mediamarkt.es,41.318579,2.076054,,,
E288,28395,370,A CoruÃ±a - A CoruÃ±a,http://specials.mediamarkt.es/tiendas/a-coruna,"Marineda City, Ocio & Shopping / Crta. de BaÃ±os a Arteixo Pol. Ind. La Grela NÂº43 LOCAL L.0.01",15008,981147100,,981147109,penay@mediamarkt.es,43.343005,-8.427957,"10 de Enero; 24 de Marzo; 3 y 24 de Julio; 1 de Noviembre; 4, 8, 11 y 18 de Diciembre.",Todos los domingos (salvo los indicados).1 y 6 de Enero; 9 de Febrero; 24 y 25 de Marzo; 17 de Mayo; 25 de Julio; 15 de Agosto; 7 y 12 de Octubre; 1 de Noviembre; 6 y 26 de Diciembre. ,
E285,131953,367,A CoruÃ±a - Ferrol,http://specials.mediamarkt.es/tiendas/ferrol,Parque Ferrol Avenida Buque Escola Galatea s/n,15405,981338300,+34606158859,,mm.ferrol.atencioncliente@mediamarkt.es,43.503674,-8.199982,"7 de Enero; 24 de Marzo; 3 y 24 de Julio; 1 de Noviembre; 4, 8, 11 y 18 de Diciembre.",Todos los domingos (salvo los indicados). 6 de Enero; 25 y 28 de Marzo; 17 de Mayo; 24 de Junio; 25 de Julio; 15 de Agosto; 12 de Octubre; 6 y 25 de Diciembre.,
E254,28379,978,Albacete - Albacete,http://specials.mediamarkt.es/tiendas/albacete,"Avenida de la IlustraciÃ³n, nÂº 51 C.C. Imaginalia",02005,967555100,+34619351184,967555109,mm.albacete.atencion@mediamarkt.es,39.009130,-1.877570,"3 y 10 de Enero, 24 de Marzo, 31 de Mayo, 3 de Julio, 15 de Agosto, 27 de Noviembre, 4/8/11/18/26 de Diciembre de 2016.",,
E227,28356,957,Alicante - Alicante,http://specials.mediamarkt.es/tiendas/alicante,"Avda. Antonio Ramos CarratalÃ , s/n",03015,966020200,+34619708727,966020209,ivorra@mediamarkt.es,38.370085,-0.468566,"Domingos y 10 de Enero; 20, 24 y 27 de Marzo; 15 de Agosto; 4, 8, 11, y 18 de Diciembre.","6 de Enero; 19, 25 y 28 de Marzo; 7 de Abril; 24 de Junio; 12 de Octubre; 1 de Noviembre; 6 y 26 de Diciembre.",
E240,28368,984,Alicante - Elche,http://specials.mediamarkt.es/tiendas/elche,"C.C. El Sauce - Avda Crevillente, 25",03205,966657800,,966657809,arques@mediamarkt.es,38.258978,-0.725807,"3 y 10 de Enero; 19, 24 y 27 de Marzo; 4 de Abril; 1 de Noviembre; 4, 8, 11, 18 y 29 de Diciembre.","Domingos; 1 y 6 de Enero; 20, 25 y 28 de Marzo; 15 de Agosto; 12 de Octubre; 6 y 26 de Diciembre.",
E269,160452,283,Alicante - Finestrat,http://specials.mediamarkt.es/tiendas/finestrat,"Av. PaÃ¯s ValenciÃ , 14",03509,966815600,,966815609,mm.finestrat.atencion@mediamarkt.es,38.535121,-0.181895,,25 de Diciembre. 1 y 6 de Enero.,24 y 31 de diciembre de 10:00 a 20:00h.
E286,110452,368,Alicante - La Zenia,http://specials.mediamarkt.es/tiendas/la-zenia,"C.C. La Zenia - C/ Jade 2, local MS-01",03189,965359900,+34608535348,965359909,mm.orihuela.sat@mediamarkt.es,37.930559,-0.734632,Domingos y festivos(salvo los indicados).,1 y 6 de Enero; 1 de Mayo; 25 de Diciembre.,Julio y Agosto de 10:00 a 23:00.
E241,28369,969,Araba - Vitoria,http://specials.mediamarkt.es/tiendas/vitoria,"C.C. Boulevard - C/Zaramaga, 1",01013,945129600,+34619564545,945129609,mm.vitoria.atencioncliente@mediamarkt.es,42.861043,-2.664644,,"Todos los domingos. 1 y 6 de Enero; 24, 25 y 28 de Marzo; 28 de Abril; 25 de Julio; 5 y 15 de Agosto; 7 y 12 de Octubre; 1 de Noviembre; 6 y 8 de Diciembre.",24 y 31 de Diciembre. Horario de 10:00h a 20:00h
E228,28357,959,Asturias - Siero,http://specials.mediamarkt.es/tiendas/siero,"C.C. Intu Asturias - C/ Paredes, s/n",33429,985031000,,985031009,mm.siero.atencioncli@mediamarkt.es,43.392528,-5.798914,"3 de Enero; 24 de Marzo; 2 de Mayo; 3 de Julio; 15 de Agosto; 1 de Noviembre; 4, 11, 18 y 26 de Diciembre.","Todos los domingos (salvo los indicados). 25 y 29 de Marzo; 18 de Julio; 8 de Septiembre; 12 de Octubre; 6, 8 de Diciembre.",15 de Abril abierto de 10:00 a 18:00h y de 19:00 a 03:00h.
